module,strategy_label,source,strategy,model,feature_set,top_n,cost_rate,total_return,annual_return,benchmark_annual_return,excess_annual_return,information_ratio,max_drawdown,monthly_win_rate_vs_benchmark,avg_traded_notional,avg_cost
原始口径,原始低波动单因子 Top100,robustness_original,single_low_vol,,,100,0.0015,0.1251224534452266,0.0634398606247186,-0.0512265015307952,0.1208574673939797,1.006443662137472,-0.1510653991897456,0.6086956521739131,0.989786018356682,0.0014846790275349
原始口径,原始 BP 价值单因子 Top100,robustness_original,single_bp,,,100,0.0015,0.1065621426062315,0.0542507045300819,-0.0512265015307952,0.1111721672570524,0.898056005563877,-0.1697770382651585,0.6086956521739131,0.2377516777191016,0.0003566275165786
行业中性化,行业中性 BP 价值单因子 Top100,industry_neutral,single_bp_ind_neu,,,100,0.0015,0.0620918363734654,0.0319289014964336,-0.0512265015307952,0.0876451578394588,1.4171949508691046,-0.2240214792027883,0.6086956521739131,0.2785632819575588,0.0004178449229362
原始口径,原始低换手单因子 Top100,robustness_original,single_low_turnover,,,100,0.0015,0.0342594718054733,0.0177304912583942,-0.0512265015307952,0.0726801422051184,0.5541600536902364,-0.1820446822101735,0.5652173913043478,0.5131658602384771,0.0007697487903576
行业中性化,行业中性低波动单因子 Top100,industry_neutral,single_low_vol_ind_neu,,,100,0.0015,0.0248439773276347,0.0128859965257246,-0.0512265015307952,0.0675740818645989,0.7318110088916423,-0.1971970390974285,0.6956521739130435,1.0927107305090145,0.0016390660957634
财务增强-行业中性,财务增强 LightGBM（行业中性） Top100,finance_enhanced,,lightgbm_finance,ind_neu_fin,100,0.0015,-0.0685339401925207,-0.036363513158844,-0.0512265015307952,0.0156654758969678,0.396457400568899,-0.2813448064562992,0.391304347826087,1.124290158566572,0.0016864352378498
行业中性化,行业中性低换手单因子 Top100,industry_neutral,single_low_turnover_ind_neu,,,100,0.0015,-0.0696672959359999,-0.0369754298231636,-0.0512265015307952,0.0150205204199158,0.1006165912693232,-0.2313072392233777,0.5652173913043478,0.6564903262892617,0.0009847354894338
财务增强-原始口径,财务增强 LightGBM（原始口径） Top100,finance_enhanced,,lightgbm_finance,raw_fin,100,0.0015,-0.0884588353980257,-0.0471737476097081,-0.0512265015307952,0.0042715715896639,0.0798996981683196,-0.2724817637634729,0.5217391304347826,1.030835762781466,0.0015462536441721
财务增强-原始口径,财务增强 Ridge（原始口径） Top100,finance_enhanced,,ridge_finance,raw_fin,100,0.0015,-0.1062953448015382,-0.056947196442892,-0.0512265015307952,-0.006029568618144,-0.1905366549500879,-0.2709363713438486,0.4347826086956521,0.6480488676206048,0.0009720733014309
行业中性化,行业中性 LightGBM Top100,industry_neutral,lightgbm_industry_neutral,,,100,0.0015,-0.1077615846377421,-0.0577547491996025,-0.0512265015307952,-0.0068807230380488,-0.1659680778588899,-0.2875901183782565,0.391304347826087,1.303751672541751,0.0019556275088125
行业中性化,行业中性 Ridge Top100,industry_neutral,ridge_industry_neutral,,,100,0.0015,-0.1138494844116917,-0.0611145564422482,-0.0512265015307952,-0.0104219341364476,-0.2837568337009138,-0.2816870761399301,0.4347826086956521,1.056004573375967,0.0015840068600639
财务增强-行业中性,财务增强 Ridge（行业中性） Top100,finance_enhanced,,ridge_finance,ind_neu_fin,100,0.0015,-0.1153261804081136,-0.0619311816636289,-0.0512265015307952,-0.0112826508646216,-0.2485132262231129,-0.298052656373273,0.391304347826087,0.97394563586815,0.0014609184538022
原始口径,原始 Ridge Top100,robustness_original,ridge,,,100,0.0015,-0.1206220859625502,-0.0648652366809668,-0.0512265015307952,-0.0143751223787099,-0.3495187980164916,-0.2840735806315353,0.3478260869565217,0.7171676086220417,0.001075751412933
原始口径,原始 LightGBM Top100,robustness_original,lightgbm,,,100,0.0015,-0.1662237935609597,-0.090488000028221,-0.0512265015307952,-0.0413813186822482,-0.9923440992469844,-0.321437517640552,0.4347826086956521,1.2513433648304433,0.0018770150472456
