module,strategy,n_oos_months,absolute_cagr_15bp,annualized_mean_active_15bp,active_mean_lower_90_block_bootstrap,active_mean_lower_95_block_bootstrap,active_mean_familywise_lower_95,bootstrap_probability_active_mean_positive,annualized_mean_active_30bp_stress,gate_min_36_months,gate_95pct_lower_bound_positive,gate_absolute_return_positive,gate_30bp_active_positive,status
原始口径,single_low_vol,23,0.09259967598856322,0.12560051889293294,0.04211981433239441,0.01659004409838859,-0.05732753611892028,0.97105,0.10429184912086308,False,True,True,True,exploratory_research_only
行业中性,single_low_vol_ind_neu,23,0.05967094360757419,0.0940401930063435,0.031305867233811874,0.013473095107396763,-0.03740463198841229,0.97215,0.07089391190291132,False,True,True,True,exploratory_research_only
行业中性,single_bp_ind_neu,23,0.01463704722514736,0.06950105175582483,-0.002321644826564613,-0.022662600986117398,-0.08187671296262274,0.89275,0.06370593677687393,False,False,True,True,exploratory_research_only
原始口径,single_low_turnover,23,0.02873310622842795,0.06475357806039111,-0.02323353689158332,-0.053145627408005436,-0.13922434212070187,0.8353,0.05435594916588699,False,False,True,True,exploratory_research_only
原始口径,single_bp,23,0.018530762614286544,0.06285414538508075,-0.02565084548659478,-0.05221566551799821,-0.1426738469596252,0.8231,0.0589056783178013,False,False,True,True,exploratory_research_only
行业中性,single_low_turnover_ind_neu,23,-0.016451526841069652,0.02713822709332721,-0.03478927434493786,-0.05578068497984955,-0.11635265775416731,0.73475,0.012093066221146982,False,False,False,True,exploratory_research_only
财务增强,lightgbm_finance:raw_fin,23,-0.041058044895221024,0.013982310987735846,-0.025616375819638035,-0.035490025757785135,-0.06413830478982174,0.6576,-0.009265115698687446,False,False,False,False,exploratory_research_only
财务增强,lightgbm_finance:ind_neu_fin,23,-0.05667872556146991,-0.004435988733815106,-0.056120149062377146,-0.06846681442188297,-0.10169277875819253,0.43555,-0.02899167317939268,False,False,False,False,exploratory_research_only
行业中性,lightgbm_industry_neutral,23,-0.06454603059104025,-0.008489457565418149,-0.044925281398998235,-0.05375469155905987,-0.07762451582974778,0.37275,-0.03699369777068593,False,False,False,False,exploratory_research_only
财务增强,ridge_finance:raw_fin,23,-0.06589026201272863,-0.020140103406513614,-0.0879776621299899,-0.10763074355506616,-0.1585936701838898,0.3504,-0.034563772241010204,False,False,False,False,exploratory_research_only
行业中性,ridge_industry_neutral,23,-0.07467305768832244,-0.02327530186099279,-0.06647662383963394,-0.07793515204815156,-0.11271474678608288,0.23715,-0.046444274244657156,False,False,False,False,exploratory_research_only
财务增强,ridge_finance:ind_neu_fin,23,-0.07817719451679828,-0.027234461541051525,-0.07728344994890367,-0.09045859673332896,-0.1276222693940847,0.25075,-0.04790031617034693,False,False,False,False,exploratory_research_only
原始口径,ridge,23,-0.09119430670800321,-0.03999114369043338,-0.0848198275949179,-0.09709330689083895,-0.13399403812695954,0.12505,-0.056117155033889574,False,False,False,False,exploratory_research_only
原始口径,lightgbm,23,-0.116333508774219,-0.07166055504426737,-0.1082526629139306,-0.11819400527803944,-0.14391597412491014,0.00945,-0.09812966842300898,False,False,False,False,exploratory_research_only
